            IoIT   EoA   EoI   IMG  PEOU   VIS   VOI   PUA   RES   SQR    LS   PPC    PS   TKR   WEI
PEOU.PEOU6 0.000 0.000 0.000 0.000 0.798 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS1   0.000 0.000 0.000 0.000 0.000 0.849 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS2   0.000 0.000 0.000 0.000 0.000 0.853 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS3   0.000 0.000 0.000 0.000 0.000 0.863 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VOI.VOI1   0.000 0.000 0.000 0.000 0.000 0.000 0.896 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VOI.VOI2   0.000 0.000 0.000 0.000 0.000 0.000 0.908 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VOI.VOI3   0.000 0.000 0.000 0.000 0.000 0.000 0.857 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.845 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.819 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.814 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA4   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.811 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA5   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.809 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA7   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.788 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PUA.PUA8   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.841 0.000 0.000 0.000 0.000 0.000 0.000 0.000
RES.RES1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.734 0.000 0.000 0.000 0.000 0.000 0.000
RES.RES2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.796 0.000 0.000 0.000 0.000 0.000 0.000
RES.RES3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.819 0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.848 0.000 0.000 0.000 0.000 0.000
SQR.SQR2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.860 0.000 0.000 0.000 0.000 0.000
SQR.SQR3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.816 0.000 0.000 0.000 0.000 0.000
LS.LS1     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.737 0.000 0.000 0.000 0.000
LS.LS2     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.714 0.000 0.000 0.000 0.000
LS.LS3     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.746 0.000 0.000 0.000 0.000
LS.LS4     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.793 0.000 0.000 0.000 0.000
LS.LS5     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.781 0.000 0.000 0.000 0.000
LS.LS6     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.797 0.000 0.000 0.000 0.000
LS.LS7     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.743 0.000 0.000 0.000 0.000
LS.LS8     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.806 0.000 0.000 0.000 0.000
PPC.PPC1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.812 0.000 0.000 0.000
PPC.PPC2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.717 0.000 0.000 0.000
PPC.PPC3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.759 0.000 0.000 0.000
PPC.PPC4   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.816 0.000 0.000 0.000
PPC.PPC5   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.742 0.000 0.000 0.000
PPC.PPC6   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.808 0.000 0.000 0.000
PS.PS1     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.835 0.000 0.000
PS.PS2     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.840 0.000 0.000
PS.PS3     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.851 0.000 0.000
PS.PS4     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.790 0.000 0.000
PS.PS5     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.805 0.000 0.000
PS.PS9     0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.824 0.000 0.000
PS.PS11    0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.798 0.000 0.000
TKR.TKR1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.843 0.000
TKR.TKR2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.853 0.000
TKR.TKR3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.824 0.000
TKR.TKR4   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.827 0.000
WEI.WEI1   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.771
WEI.WEI2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.765
WEI.WEI3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.780
WEI.WEI4   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.791
WEI.WEI5   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.806
WEI.WEI6   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.756
WEI.WEI7   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.785
WEI.WEI8   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.817
